product,status,rows_before,rows_after,same_grid,temperature_blank,temperature_withheld,Temperature (degC)_changed,Luminosity (lux)_changed,Flag_T_changed,Flag_lux_changed,max_temperature_change_degC
PNOR_2023S2_HOBO_QLF.csv,compared,2320,2320,True,0,0,0,0,0,0,0.0
PNOR_2024S1_HOBO_QLF.csv,compared,1767,1767,True,1290,1289,1289,0,0,0,0.0
PNOR_2024S2_HOBO_QLF.csv,compared,2184,2184,True,0,0,0,0,0,0,0.0
PNOR_2025S1_HOBO_QLF.csv,compared,2327,2327,True,0,0,0,0,0,0,0.0
PNOR_2025S2_HOBO_QLF.csv,compared,2167,2167,True,329,329,329,0,0,0,0.0
PNOR_2026S1_HOBO_QLF.csv,compared,4236,4236,True,1819,1819,1819,0,0,0,0.0
RODORASO_2020S1_HOBO_QLF.csv,compared,2917,2917,True,0,0,0,0,0,0,0.0
RODORASO_2021S1_HOBO_QLF.csv,compared,5500,5500,True,0,0,0,0,0,0,0.0
RODORASO_2021S2_HOBO_QLF.csv,compared,1156,1156,True,1,0,0,0,0,0,0.0
RODORASO_2023S1_HOBO_QLF.csv,compared,2293,2293,True,0,0,0,0,0,0,0.0
RODORASO_2023S2_HOBO_1_QLF.csv,compared,2526,2526,True,0,0,0,0,0,0,0.0
RODORASO_2024S1_HOBO_QLF.csv,compared,3570,3570,True,0,0,0,0,0,0,0.0
RODORASO_2024S2_HOBO_QLF.csv,compared,2148,2148,True,0,0,0,0,0,0,0.0
RODORASO_2025S1_HOBO_QLF.csv,compared,2340,2340,True,1220,1219,1219,0,0,0,0.0
SGOM_2019S1_HOBO_QLF.csv,compared,4725,4725,True,0,0,0,0,0,0,0.0
SGOM_2019S2_HOBO_QLF.csv,compared,1913,1913,True,0,0,0,0,0,0,0.0
SGOM_2021S2_HOBO_QLF.csv,compared,1132,1132,True,0,0,0,0,0,0,0.0
SGOM_2022S1_HOBO_QLF.csv,compared,2544,2544,True,0,0,0,0,0,0,0.0
SGOM_2022S2_HOBO_QLF.csv,compared,4418,4418,True,0,0,0,0,0,0,0.0
SGOM_2023S2_HOBO_QLF.csv,compared,2306,2306,True,584,584,584,0,0,0,0.0
SGOM_2024S1_HOBO_QLF.csv,compared,2008,2008,True,1,0,0,0,0,0,0.0
SGOM_2024S2_HOBO_QLF.csv,compared,1980,1980,True,0,0,0,0,0,0,0.0
SGOM_2025S1_HOBO_QLF.csv,compared,2328,2328,True,0,0,0,0,0,0,0.0
SGOM_2025S2_HOBO_QLF.csv,compared,1461,1461,True,0,0,0,0,0,0,0.0
SGOM_2026S1_HOBO_QLF.csv,compared,2254,2254,True,0,0,0,0,0,0,0.0
TIM2_2019S2_HOBO_QLF.csv,compared,7131,7131,True,0,0,0,0,0,0,0.0
TIM2_2021S2_HOBO_QLF.csv,compared,1211,1211,True,0,0,0,0,0,0,0.0
TIM2_2022S1_HOBO_QLF.csv,compared,2425,2425,True,1,0,0,0,0,0,0.0
TIM2_2023S1_HOBO_QLF.csv,compared,2267,2267,True,0,0,0,0,0,0,0.0
TIM2_2024S2_HOBO_QLF.csv,compared,2097,2097,True,0,0,0,0,0,0,0.0
TIM2_2025S1_HOBO_QLF.csv,compared,2355,2355,True,192,191,191,0,0,0,0.0
TIM2_2025S2_HOBO_QLF.csv,compared,2146,2146,True,1344,1344,1344,0,0,0,0.0
TIM2_2026S1_HOBO_QLF.csv,compared,4358,4358,True,0,0,0,0,0,0,0.0
