product,start,end,paired_samples,duration_hours,max_spread_degC,sustained
ESQNORTE_2025S2_HOBO_QLF,2025-08-11 19:10:24,2025-08-11 23:10:24,3,4.0,0.5790000000000006,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-12 03:10:24,2025-08-12 15:10:24,7,12.0,0.5790000000000006,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-12 19:10:24,2025-08-13 03:10:24,5,8.0,0.5779999999999994,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-13 07:10:24,2025-08-13 07:10:24,1,0.0,0.5779999999999994,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-13 11:10:24,2025-08-15 03:10:24,21,40.0,0.5779999999999994,True
ESQNORTE_2025S2_HOBO_QLF,2025-08-15 07:10:24,2025-08-16 01:10:24,10,18.0,0.5790000000000006,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-16 05:10:24,2025-08-16 23:10:24,10,18.0,0.5790000000000006,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-17 03:10:24,2025-08-17 09:10:24,4,6.0,0.6750000000000007,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-17 13:10:24,2025-08-21 03:10:24,44,86.0,0.6750000000000007,True
ESQNORTE_2025S2_HOBO_QLF,2025-08-21 07:10:24,2025-08-22 05:10:24,12,22.0,0.5779999999999994,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-22 09:10:24,2025-08-24 17:10:24,29,56.0,0.5790000000000006,True
ESQNORTE_2025S2_HOBO_QLF,2025-08-24 21:10:24,2025-08-27 15:10:24,34,66.0,0.6769999999999996,True
ESQNORTE_2025S2_HOBO_QLF,2025-08-27 19:10:24,2025-08-29 11:10:24,21,40.0,0.6760000000000019,True
ESQNORTE_2025S2_HOBO_QLF,2025-08-29 17:10:24,2025-08-29 17:10:24,1,0.0,0.5800000000000018,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-29 21:10:24,2025-08-30 01:10:24,3,4.0,0.5800000000000018,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-30 07:10:24,2025-09-11 11:10:24,147,292.0,0.6789999999999985,True
ESQNORTE_2025S2_HOBO_QLF,2025-09-11 15:10:24,2025-09-11 15:10:24,1,0.0,0.7829999999999977,False
ESQRODO_2023S1_HOBO_QLF,2022-12-14 20:45:01,2022-12-15 00:45:01,3,4.0,0.5820000000000007,False
ESQRODO_2023S1_HOBO_QLF,2022-12-17 18:45:01,2022-12-19 06:45:01,19,36.0,0.777000000000001,True
ESQRODO_2023S1_HOBO_QLF,2022-12-19 12:45:01,2022-12-19 12:45:01,1,0.0,0.583000000000002,False
ESQRODO_2023S1_HOBO_QLF,2022-12-19 18:45:01,2022-12-19 18:45:01,1,0.0,0.583000000000002,False
ESQRODO_2023S1_HOBO_QLF,2022-12-20 02:45:01,2022-12-20 04:45:01,2,2.0,0.777000000000001,False
ESQRODO_2023S1_HOBO_QLF,2022-12-20 08:45:01,2022-12-20 22:45:01,8,14.0,0.777000000000001,False
ESQRODO_2023S1_HOBO_QLF,2022-12-21 02:45:01,2022-12-21 02:45:01,1,0.0,0.5809999999999995,False
ESQRODO_2023S1_HOBO_QLF,2022-12-21 06:45:01,2022-12-21 08:45:01,2,2.0,0.5809999999999995,False
ESQRODO_2023S1_HOBO_QLF,2022-12-21 16:45:01,2022-12-22 12:45:01,11,20.0,0.7750000000000021,False
ESQRODO_2023S1_HOBO_QLF,2022-12-22 22:45:01,2022-12-23 10:45:01,7,12.0,0.6769999999999996,False
ESQRODO_2023S1_HOBO_QLF,2022-12-23 16:45:01,2022-12-23 20:45:01,3,4.0,0.5799999999999983,False
ESQRODO_2023S1_HOBO_QLF,2022-12-25 04:45:01,2022-12-25 04:45:01,1,0.0,0.5799999999999983,False
ESQRODO_2023S1_HOBO_QLF,2022-12-25 20:45:01,2022-12-25 20:45:01,1,0.0,0.5799999999999983,False
ESQRODO_2023S1_HOBO_QLF,2022-12-26 00:45:01,2022-12-26 00:45:01,1,0.0,0.5800000000000018,False
ESQRODO_2023S1_HOBO_QLF,2022-12-27 22:45:01,2022-12-27 22:45:01,1,0.0,0.5790000000000006,False
ESQRODO_2023S1_HOBO_QLF,2022-12-28 02:45:01,2022-12-28 02:45:01,1,0.0,0.5790000000000006,False
ESQRODO_2023S1_HOBO_QLF,2022-12-28 08:45:01,2022-12-28 10:45:01,2,2.0,0.5799999999999983,False
ESQRODO_2023S1_HOBO_QLF,2022-12-28 14:45:01,2022-12-30 02:45:01,19,36.0,0.6769999999999996,True
ESQRODO_2023S1_HOBO_QLF,2022-12-30 06:45:01,2022-12-30 12:45:01,4,6.0,0.5800000000000018,False
ESQRODO_2023S1_HOBO_QLF,2022-12-30 18:45:01,2023-01-04 06:45:01,55,108.0,0.8709999999999987,True
ESQRODO_2023S1_HOBO_QLF,2023-01-04 12:45:01,2023-01-04 12:45:01,1,0.0,0.5809999999999995,False
ESQRODO_2023S1_HOBO_QLF,2023-01-04 22:45:01,2023-01-05 18:45:01,11,20.0,0.8739999999999988,False
ESQRODO_2023S1_HOBO_QLF,2023-01-06 00:45:01,2023-01-06 08:45:01,5,8.0,0.6810000000000009,False
ESQRODO_2023S1_HOBO_QLF,2023-01-06 12:45:01,2023-01-06 18:45:01,4,6.0,0.6799999999999997,False
ESQRODO_2023S1_HOBO_QLF,2023-01-07 02:45:01,2023-01-07 08:45:01,4,6.0,0.6799999999999997,False
ESQRODO_2023S1_HOBO_QLF,2023-01-07 12:45:01,2023-01-07 12:45:01,1,0.0,0.583000000000002,False
ESQRODO_2023S1_HOBO_QLF,2023-01-07 16:45:01,2023-01-07 20:45:01,3,4.0,0.6799999999999997,False
ESQRODO_2023S1_HOBO_QLF,2023-01-08 00:45:01,2023-01-08 16:45:01,9,16.0,0.6810000000000009,False
ESQRODO_2023S1_HOBO_QLF,2023-01-08 20:45:01,2023-01-10 00:45:01,15,28.0,0.7780000000000022,True
ESQRODO_2023S1_HOBO_QLF,2023-01-10 04:45:01,2023-01-11 10:45:01,16,30.0,0.6810000000000009,True
ESQRODO_2023S1_HOBO_QLF,2023-01-11 16:45:01,2023-01-11 18:45:01,2,2.0,0.583000000000002,False
ESQRODO_2023S1_HOBO_QLF,2023-01-14 04:45:01,2023-01-14 14:45:01,6,10.0,0.583000000000002,False
ESQRODO_2023S1_HOBO_QLF,2023-01-14 20:45:01,2023-01-15 04:45:01,5,8.0,0.6799999999999997,False
ESQRODO_2023S1_HOBO_QLF,2023-01-15 16:45:01,2023-01-15 16:45:01,1,0.0,0.583000000000002,False
ESQRODO_2023S1_HOBO_QLF,2023-01-16 10:45:01,2023-01-17 04:45:01,10,18.0,0.6810000000000009,False
ESQRODO_2023S1_HOBO_QLF,2023-01-17 10:45:01,2023-01-17 18:45:01,5,8.0,0.583000000000002,False
ESQRODO_2023S1_HOBO_QLF,2023-01-17 22:45:01,2023-01-17 22:45:01,1,0.0,0.583000000000002,False
ESQRODO_2023S1_HOBO_QLF,2023-01-18 20:45:01,2023-01-19 06:45:01,6,10.0,0.5829999999999984,False
ESQRODO_2023S1_HOBO_QLF,2023-01-19 12:45:01,2023-01-19 12:45:01,1,0.0,0.583000000000002,False
ESQRODO_2023S1_HOBO_QLF,2023-01-21 00:45:01,2023-01-21 04:45:01,3,4.0,0.5839999999999996,False
ESQRODO_2023S1_HOBO_QLF,2023-01-21 08:45:01,2023-01-21 08:45:01,1,0.0,0.5839999999999996,False
ESQRODO_2023S1_HOBO_QLF,2023-01-22 16:45:01,2023-01-22 16:45:01,1,0.0,0.5850000000000009,False
ESQRODO_2023S1_HOBO_QLF,2023-01-23 06:45:01,2023-01-23 06:45:01,1,0.0,0.5839999999999996,False
ESQRODO_2023S1_HOBO_QLF,2023-01-25 20:45:01,2023-01-25 22:45:01,2,2.0,0.583000000000002,False
ESQRODO_2023S1_HOBO_QLF,2023-01-27 06:45:01,2023-01-27 06:45:01,1,0.0,0.5839999999999996,False
ESQRODO_2023S1_HOBO_QLF,2023-01-27 12:45:01,2023-01-27 14:45:01,2,2.0,0.5850000000000009,False
ESQRODO_2023S1_HOBO_QLF,2023-01-28 12:45:01,2023-01-28 16:45:01,3,4.0,0.6820000000000022,False
ESQRODO_2023S1_HOBO_QLF,2023-01-28 20:45:01,2023-01-28 22:45:01,2,2.0,0.5839999999999996,False
ESQRODO_2023S1_HOBO_QLF,2023-01-30 18:45:01,2023-01-30 18:45:01,1,0.0,0.5820000000000007,False
ESQRODO_2023S1_HOBO_QLF,2023-02-01 04:45:01,2023-02-01 10:45:01,4,6.0,0.5809999999999995,False
ESQRODO_2023S1_HOBO_QLF,2023-02-01 14:45:01,2023-02-01 14:45:01,1,0.0,0.5809999999999995,False
ESQRODO_2023S1_HOBO_QLF,2023-02-03 12:45:01,2023-02-03 20:45:01,5,8.0,0.5809999999999995,False
ESQRODO_2023S1_HOBO_QLF,2023-02-07 08:45:01,2023-02-07 08:45:01,1,0.0,0.5799999999999983,False
ESQRODO_2023S1_HOBO_QLF,2023-02-14 06:45:01,2023-02-14 06:45:01,1,0.0,0.5809999999999995,False
ESQRODO_2023S1_HOBO_QLF,2023-02-20 06:45:01,2023-02-20 06:45:01,1,0.0,0.5820000000000007,False
ESQRODO_2023S1_HOBO_QLF,2023-03-03 11:45:01,2023-03-03 11:45:01,1,0.0,0.5820000000000007,False
ESQRODO_2023S1_HOBO_QLF,2023-03-03 15:45:01,2023-03-03 15:45:01,1,0.0,0.5820000000000007,False
ESQRODO_2023S1_HOBO_QLF,2023-03-03 19:45:01,2023-03-03 21:45:01,2,2.0,0.5820000000000007,False
ESQRODO_2023S1_HOBO_QLF,2023-03-04 01:45:01,2023-03-04 01:45:01,1,0.0,0.5820000000000007,False
ESQRODO_2023S1_HOBO_QLF,2023-03-04 13:45:01,2023-03-04 13:45:01,1,0.0,0.5820000000000007,False
ESQRODO_2023S1_HOBO_QLF,2023-03-05 11:45:01,2023-03-05 11:45:01,1,0.0,0.5820000000000007,False
ESQRODO_2023S1_HOBO_QLF,2023-03-05 15:45:01,2023-03-05 17:45:01,2,2.0,0.5820000000000007,False
ESQRODO_2023S1_HOBO_QLF,2023-03-05 21:45:01,2023-03-05 23:45:01,2,2.0,0.5820000000000007,False
ESQRODO_2023S1_HOBO_QLF,2023-03-07 15:45:01,2023-03-07 15:45:01,1,0.0,0.5820000000000007,False
ESQSUL_2019S1_HOBO_QLF,2019-04-02 16:00:00,2019-04-02 16:00:00,1,0.0,0.6890000000000001,False
ESQSUL_2023S1_HOBO_QLF,2023-03-18 10:42:24,2023-03-18 14:42:24,3,4.0,1.2010000000000003,False
ESQSUL_2023S2_HOBO_QLF,2023-10-10 13:06:24,2023-10-10 14:06:24,2,1.0,0.8719999999999999,False
ESQSUL_2024S1_HOBO_QLF,2024-03-05 12:31:49,2024-03-05 12:31:49,1,0.0,0.5899999999999999,False
ESQSUL_2024S1_HOBO_QLF,2024-03-09 12:31:49,2024-03-09 12:31:49,1,0.0,0.5889999999999986,False
ESQSUL_2024S1_HOBO_QLF,2024-03-09 16:31:49,2024-03-09 16:31:49,1,0.0,0.5889999999999986,False
ESQSUL_2024S1_HOBO_QLF,2024-03-12 00:31:49,2024-03-12 00:31:49,1,0.0,0.5899999999999999,False
ESQSUL_2024S1_HOBO_QLF,2024-03-17 04:31:49,2024-03-17 04:31:49,1,0.0,0.5899999999999999,False
ESQSUL_2024S1_HOBO_QLF,2024-03-19 10:31:49,2024-03-19 10:31:49,1,0.0,0.6870000000000012,False
ESQSUL_2024S1_HOBO_QLF,2024-03-19 18:31:49,2024-03-19 18:31:49,1,0.0,0.5869999999999997,False
ESQSUL_2024S1_HOBO_QLF,2024-03-20 14:31:49,2024-03-20 14:31:49,1,0.0,0.5869999999999997,False
ESQSUL_2024S1_HOBO_QLF,2024-03-21 10:31:49,2024-03-21 10:31:49,1,0.0,0.5859999999999985,False
ESQSUL_2024S1_HOBO_QLF,2024-03-22 12:31:49,2024-03-22 12:31:49,1,0.0,0.5839999999999996,False
ESQSUL_2024S1_HOBO_QLF,2024-03-23 14:31:49,2024-03-23 14:31:49,1,0.0,0.5839999999999996,False
ESQSUL_2024S1_HOBO_QLF,2024-03-28 08:31:49,2024-03-28 08:31:49,1,0.0,0.5869999999999997,False
ESQSUL_2024S1_HOBO_QLF,2024-03-31 10:31:49,2024-03-31 10:31:49,1,0.0,0.5899999999999999,False
ESQSUL_2024S1_HOBO_QLF,2024-03-31 14:31:49,2024-03-31 14:31:49,1,0.0,0.5899999999999999,False
ESQSUL_2024S1_HOBO_QLF,2024-04-07 06:31:49,2024-04-07 06:31:49,1,0.0,0.5949999999999989,False
PAB2_2023S1_HOBO_QLF,2023-04-13 13:03:02,2023-04-13 17:03:02,3,4.0,1.9659999999999973,False
PAB3_2020S1_HOBO_QLF,2019-09-11 09:00:00,2019-09-11 12:00:00,7,3.0,0.6810000000000009,False
PAB3_2020S1_HOBO_QLF,2019-09-12 09:00:00,2019-09-12 09:30:00,2,0.5,0.6799999999999997,False
PAB3_2020S1_HOBO_QLF,2019-09-12 10:30:00,2019-09-12 12:00:00,4,1.5,0.6810000000000009,False
PAB3_2020S1_HOBO_QLF,2019-09-13 09:00:00,2019-09-13 11:30:00,6,2.5,0.7780000000000022,False
PAB3_2020S1_HOBO_QLF,2019-09-14 09:00:00,2019-09-14 11:30:00,6,2.5,0.6819999999999986,False
PAB3_2020S1_HOBO_QLF,2019-09-15 09:00:00,2019-09-15 11:30:00,6,2.5,0.6820000000000022,False
PAB3_2020S1_HOBO_QLF,2019-09-16 10:30:00,2019-09-16 10:30:00,1,0.0,0.5850000000000009,False
PAB3_2020S1_HOBO_QLF,2019-09-17 11:00:00,2019-09-17 11:00:00,1,0.0,0.5850000000000009,False
PAB3_2020S1_HOBO_QLF,2020-03-16 10:00:00,2020-03-16 11:00:00,3,1.0,1.1930000000000014,False
PAB3_2022S1_HOBO_QLF,2021-08-22 21:00:00,2022-03-04 15:00:00,2326,4650.0,1.3709999999999989,True
PAB3_2022S1_HOBO_QLF,2022-03-04 19:00:00,2022-03-04 23:00:00,3,4.0,0.5950000000000024,False
PAB3_2022S1_HOBO_QLF,2022-03-05 03:00:00,2022-03-05 03:00:00,1,0.0,0.5950000000000024,False
PAB3_2022S1_HOBO_QLF,2022-03-05 07:00:00,2022-03-05 19:00:00,7,12.0,0.5970000000000013,False
PAB3_2022S1_HOBO_QLF,2022-03-06 01:00:00,2022-03-06 01:00:00,1,0.0,0.5950000000000024,False
PAB3_2022S1_HOBO_QLF,2022-03-06 09:00:00,2022-03-06 17:00:00,5,8.0,0.5970000000000013,False
PAB3_2022S1_HOBO_QLF,2022-03-06 21:00:00,2022-03-06 21:00:00,1,0.0,0.5960000000000001,False
PAB3_2022S1_HOBO_QLF,2022-03-07 01:00:00,2022-03-07 01:00:00,1,0.0,0.5960000000000001,False
PAB3_2022S1_HOBO_QLF,2022-03-07 11:00:00,2022-03-07 13:00:00,2,2.0,0.5970000000000013,False
PAB3_2022S1_HOBO_QLF,2022-03-07 17:00:00,2022-03-07 17:00:00,1,0.0,0.5970000000000013,False
PAB3_2022S1_HOBO_QLF,2022-03-07 21:00:00,2022-03-07 21:00:00,1,0.0,0.5970000000000013,False
PAB3_2022S1_HOBO_QLF,2022-03-08 01:00:00,2022-03-08 01:00:00,1,0.0,0.5970000000000013,False
PAB3_2022S1_HOBO_QLF,2022-03-08 09:00:00,2022-03-08 09:00:00,1,0.0,0.5970000000000013,False
PAB3_2022S1_HOBO_QLF,2022-03-09 15:00:00,2022-03-09 15:00:00,1,0.0,0.5969999999999978,False
PAB3_2022S1_HOBO_QLF,2022-03-10 09:00:00,2022-03-10 09:00:00,1,0.0,0.5969999999999978,False
PAB3_2022S1_HOBO_QLF,2022-03-12 17:00:00,2022-03-12 17:00:00,1,0.0,0.5990000000000002,False
PAB3_2022S2_HOBO_2_QLF,2022-03-22 07:43:40,2022-09-07 07:43:40,2029,4056.0,1.5919999999999987,True
PAB3_2022S2_HOBO_2_QLF,2022-09-07 11:43:40,2022-09-08 07:43:40,11,20.0,0.6769999999999996,False
PAB3_2022S2_HOBO_2_QLF,2022-09-08 11:43:40,2022-09-09 05:43:40,10,18.0,0.5800000000000018,False
PAB3_2022S2_HOBO_2_QLF,2022-09-09 09:43:40,2022-09-10 01:43:40,9,16.0,0.6769999999999996,False
PAB3_2022S2_HOBO_2_QLF,2022-09-10 05:43:40,2022-09-13 07:43:40,38,74.0,0.6780000000000008,True
PAB3_2022S2_HOBO_2_QLF,2022-09-13 11:43:40,2022-09-15 09:43:40,24,46.0,0.6789999999999985,True
PAB3_2022S2_HOBO_2_QLF,2022-09-15 17:43:40,2022-09-16 13:43:40,11,20.0,0.6789999999999985,False
PAB3_2022S2_HOBO_2_QLF,2022-09-16 17:43:40,2022-09-17 13:43:40,11,20.0,0.583000000000002,False
PAB3_2022S2_HOBO_2_QLF,2022-09-17 17:43:40,2022-09-18 07:43:40,8,14.0,0.6789999999999985,False
PAB3_2022S2_HOBO_2_QLF,2022-09-18 11:43:40,2022-09-18 13:43:40,2,2.0,0.5820000000000007,False
PAB3_2022S2_HOBO_2_QLF,2022-09-18 17:43:40,2022-09-19 01:43:40,5,8.0,0.5809999999999995,False
PAB3_2022S2_HOBO_2_QLF,2022-09-19 05:43:40,2022-09-19 13:43:40,5,8.0,0.5820000000000007,False
PAB3_2022S2_HOBO_2_QLF,2022-09-19 19:43:40,2022-09-19 23:43:40,3,4.0,0.5809999999999995,False
PAB3_2022S2_HOBO_2_QLF,2022-09-20 07:43:40,2022-09-20 07:43:40,1,0.0,0.5809999999999995,False
PAB3_2022S2_HOBO_2_QLF,2022-09-20 11:43:40,2022-09-20 13:43:40,2,2.0,0.5820000000000007,False
PAB3_2022S2_HOBO_2_QLF,2022-09-20 19:43:40,2022-09-21 09:43:40,8,14.0,0.5820000000000007,False
PAB3_2022S2_HOBO_2_QLF,2022-09-21 13:43:40,2022-09-22 05:43:40,9,16.0,0.6789999999999985,False
PAB3_2022S2_HOBO_2_QLF,2022-09-22 11:43:40,2022-09-22 11:43:40,1,0.0,0.583000000000002,False
PAB3_2022S2_HOBO_2_QLF,2022-09-22 15:43:40,2022-09-22 15:43:40,1,0.0,0.583000000000002,False
PAB3_2022S2_HOBO_2_QLF,2022-09-22 21:43:40,2022-09-23 03:43:40,4,6.0,0.583000000000002,False
